alpha3code,image_timestamp,avg_ssm_mm,avg_susm_mm,month,year,platform,country,country_clean,alpha2code,numeric,continet_code,area_km2
GHA,2019-10-17 12:00:00+00:00,19.464153289794922,118.64824676513672,10,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-10-20 12:00:00+00:00,22.10159683227539,124.43370819091797,10,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-10-20 12:00:00+00:00,22.10159683227539,124.43370819091797,10,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-10-23 12:00:00+00:00,21.10845375061035,124.7196273803711,10,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-10-23 12:00:00+00:00,21.10845375061035,124.7196273803711,10,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-10-26 12:00:00+00:00,20.6841983795166,124.34273529052734,10,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-10-26 12:00:00+00:00,20.6841983795166,124.34273529052734,10,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-10-29 12:00:00+00:00,18.991548538208008,121.38594818115234,10,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-10-29 12:00:00+00:00,18.991548538208008,121.38594818115234,10,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-01 12:00:00+00:00,17.405736923217773,115.02279663085938,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-01 12:00:00+00:00,17.405736923217773,115.02279663085938,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-04 12:00:00+00:00,17.315425872802734,111.55786895751953,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-04 12:00:00+00:00,17.315425872802734,111.55786895751953,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-07 12:00:00+00:00,14.320616722106934,103.68319702148438,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-07 12:00:00+00:00,14.320616722106934,103.68319702148438,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-10 12:00:00+00:00,14.492260932922363,96.64158630371094,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-10 12:00:00+00:00,14.492260932922363,96.64158630371094,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
