category,category_km2,platform_category_percent,year,platform,platform_km2,n_countries
forest,4963266.4799999995,25.954669150120953,2016,cities4forests,19122827.0,18
grassland,4705435.44,24.60637979938845,2016,cities4forests,19122827.0,18
savanna,4354467.840000002,22.7710465612642,2016,cities4forests,19122827.0,18
shrubland,1325131.2699999996,6.929578299275518,2016,cities4forests,19122827.0,18
snow,10281.44,0.05376527225812376,2016,cities4forests,19122827.0,18
urban,111783.31999999999,0.5845543653142916,2016,cities4forests,19122827.0,18
water,287155.79000000015,1.5016388005811074,2016,cities4forests,19122827.0,18
wetland,98063.66,0.5128094292752845,2016,cities4forests,19122827.0,18
barren,374188.43000000005,1.9567631396759488,2017,cities4forests,19122827.0,18
cropland,2931703.8499999996,15.33091236980808,2017,cities4forests,19122827.0,18
forest,4974081.319999998,26.011223758913882,2017,cities4forests,19122827.0,18
grassland,4703488.980000001,24.596201074244938,2017,cities4forests,19122827.0,18
savanna,4293459.680000001,22.452013397391507,2017,cities4forests,19122827.0,18
shrubland,1338708.05,7.000576065453084,2017,cities4forests,19122827.0,18
snow,10324.85,0.053992278442931065,2017,cities4forests,19122827.0,18
urban,112203.21999999999,0.5867501703592255,2017,cities4forests,19122827.0,18
water,286523.9200000001,1.4983345297219919,2017,cities4forests,19122827.0,18
wetland,98144.75,0.5132334774560268,2017,cities4forests,19122827.0,18
barren,375419.8400000001,1.96320261643323,2018,cities4forests,19122827.0,18
cropland,2915194.22,15.244577697638537,2018,cities4forests,19122827.0,18
forest,4953986.729999999,25.906142067801994,2018,cities4forests,19122827.0,18
grassland,4752875.97,24.854463045657422,2018,cities4forests,19122827.0,18
savanna,4303647.26,22.505287842639586,2018,cities4forests,19122827.0,18
shrubland,1312554.75,6.863811245063295,2018,cities4forests,19122827.0,18
snow,10893.88,0.056967936801394475,2018,cities4forests,19122827.0,18
urban,112739.76000000001,0.5895559270603662,2018,cities4forests,19122827.0,18
water,285564.2900000001,1.4933162863419729,2018,cities4forests,19122827.0,18
wetland,99950.27000000002,0.5226751776816263,2018,cities4forests,19122827.0,18
barren,376379.06000000006,1.9682187157787918,2019,cities4forests,19122827.0,18
cropland,2934799.55,15.347100875827616,2019,cities4forests,19122827.0,18
forest,4956695.15,25.920305350249734,2019,cities4forests,19122827.0,18
grassland,4738290.79,24.778192000586525,2019,cities4forests,19122827.0,18
savanna,4313150.990000001,22.554986195294248,2019,cities4forests,19122827.0,18
shrubland,1292105.8299999998,6.756876637538999,2019,cities4forests,19122827.0,18
snow,12933.49,0.06763377611479725,2019,cities4forests,19122827.0,18
urban,113262.55999999998,0.5922898324604411,2019,cities4forests,19122827.0,18
water,285948.23000000004,1.4953240438769855,2019,cities4forests,19122827.0,18
wetland,99261.31000000001,0.5190723630977784,2019,cities4forests,19122827.0,18
