country,country_clean,area_miles2,area_km2,tota_area_rank,source
Burundi,Burundi,10747,27834,146,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Cabo Verde (Cape Verde),Cabo Verde (Cape Verde),1557,4033,174,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Cambodia,Cambodia,69898,181035,90,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Cameroon,Cameroon,183920,476350,54,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Canada,Canada,3855103,9984670,2,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Cayman Islands,Cayman Islands,102,264,209,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Central African Republic,Central African Republic (the),240324,622436,44,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Chad,Chad,495755,1284000,21,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Chile,Chile,291930,756096,38,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
China,China,3696100,9572900,3,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Colombia,Colombia,440831,1141748,26,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Comoros,Comoros,719,1862,179,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
"Congo, Democratic Republic of the",Congo (the Democratic Republic of the),905568,2345410,11,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
"Congo, Republic of the",Congo (the),132047,342000,66,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Costa Rica,Costa Rica,19730,51100,129,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Côte d’Ivoire,Côte d'Ivoire,124504,322463,69,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Croatia,Croatia,21851,56594,127,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Cuba,Cuba,42426,109884,105,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Curaçao,Curaçao,171,444,198,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Cyprus,Cyprus,3572,9251,168,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Czech Republic,Czech Republic,30450,78865,117,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Denmark,Denmark,16570,42916,133,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Djibouti,Djibouti,8960,23200,150,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Dominica,Dominica,290,751,187,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Dominican Republic,Dominican Republic (the),18653,48311,131,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
East Timor,East Timor,5773,14954,159,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Ecuador,Ecuador,98985,256370,77,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Egypt,Egypt,390121,1010408,30,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
El Salvador,El Salvador,8124,21040,153,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Equatorial Guinea,Equatorial Guinea,10831,28051,145,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Eritrea,Eritrea,46760,121100,100,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Estonia,Estonia,17462,45227,132,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Eswatini (Swaziland),Eswatini,6704,17364,158,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Ethiopia,Ethiopia,410678,1063652,28,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Faroe Islands,Faroe Islands,540,1399,181,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Fiji,Fiji,7055,18272,156,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Finland,Finland,150928,390903,61,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
