country,country_clean,area_miles2,area_km2,tota_area_rank,source
Togo,Togo,21853,56600,126,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Tonga,Tonga,289,748,188,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Trinidad and Tobago,Trinidad and Tobago,1980,5127,172,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Tunisia,Tunisia,63170,163610,93,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Turkey,Turkey,303224,785347,37,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Turkmenistan,Turkmenistan,189657,491210,53,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Tuvalu,Tuvalu,9.9,25.6,220,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Uganda,Uganda,93263,241551,81,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Ukraine,Ukraine,233032,603549,45,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
United Arab Emirates,United Arab Emirates,32278,83600,115,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
United Kingdom,United Kingdom,93630,242500,80,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
United States,United States,3677649,9525067,4,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
United States Virgin Islands,United States Virgin Islands,135,350,204,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Uruguay,Uruguay,67574,175016,91,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Uzbekistan,Uzbekistan,172742,447400,57,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Vanuatu,Vanuatu,4707,12190,162,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Vatican City,Vatican City,0.17,0.44,223,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Venezuela,Venezuela,353841,916445,33,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Vietnam,Vietnam,127889,331231,67,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
West Bank,West Bank,2183,5655,171,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Yemen,Yemen,175677,455000,50,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Zambia,Zambia,290586,752614,39,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Zimbabwe,Zimbabwe,150872,390757,62,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
